t1,t2,s1,s2,yd1,yd2,to1,to2,home_team,week
Eagles,Bears,24,20,377,284,3,1.0,Bears,11
Titans,Texans,20,17,344,340,1,,Texans,11
Packers,Lions,34,12,422,272,2,5.0,Lions,12
Cowboys,Raiders,24,7,494,305,0,1.0,Cowboys,12
Broncos,Giants,26,6,373,267,1,3.0,Broncos,12
Seahawks,Rams,27,17,265,364,1,2.0,Rams,12
Bills,Dolphins,31,14,336,325,1,4.0,Bills,12
Jets,Panthers,17,6,283,179,3,4.0,Jets,12
Bengals,Browns,16,7,306,169,0,0.0,Bengals,12
Colts,Texans,35,27,342,396,2,3.0,Texans,12
Falcons,Buccaneers,20,17,297,318,1,1.0,Falcons,12
Eagles,Redskins,27,24,381,303,1,2.0,Eagles,12
49ers,Jaguars,20,3,284,357,0,2.0,49ers,12
Chargers,Chiefs,43,14,426,284,1,4.0,Chargers,12
Titans,Cardinals,20,17,532,292,1,0.0,Titans,12
Vikings,Bears,36,10,537,169,1,3.0,Vikings,12
Ravens,Steelers,20,17,393,298,2,1.0,Ravens,12
Saints,Patriots,38,17,480,366,1,,Saints,12
Jets,Bills,19,13,331,194,0,2.0,Bills,13
Broncos,Chiefs,44,13,413,222,3,3.0,Chiefs,13
Raiders,Steelers,27,24,396,401,0,1.0,Steelers,13
Bears,Rams,17,9,248,233,1,2.0,Bears,13
Dolphins,Patriots,22,21,416,448,1,2.0,Dolphins,13
Bengals,Lions,23,13,321,245,3,2.0,Bengals,13
Saints,Redskins,33,30,463,455,1,4.0,Redskins,13
Colts,Titans,27,17,358,375,0,2.0,Colts,13
Eagles,Falcons,34,7,380,295,0,3.0,Falcons,13
Panthers,Buccaneers,16,6,309,469,2,5.0,Panthers,13
Jaguars,Texans,23,18,323,305,1,3.0,Jaguars,13
Chargers,Browns,30,23,477,372,0,1.0,Browns,13
Giants,Cowboys,31,24,337,424,2,1.0,Giants,13
Seahawks,49ers,20,17,292,356,1,2.0,Seahawks,13
Cardinals,Vikings,30,17,398,315,1,2.0,Cardinals,13
Packers,Ravens,27,14,350,185,3,4.0,Packers,13
Browns,Steelers,13,6,255,218,0,0.0,Browns,14
Bills,Chiefs,16,10,273,354,3,4.0,Chiefs,14
Jets,Buccaneers,26,3,310,124,1,3.0,Buccaneers,14
Saints,Falcons,26,23,391,392,0,1.0,Falcons,14
Patriots,Panthers,20,10,377,305,3,0.0,Patriots,14
Texans,Seahawks,34,7,450,282,2,1.0,Texans,14
Ravens,Lions,48,3,548,229,1,2.0,Ravens,14
Packers,Bears,21,14,315,254,2,2.0,Bears,14
Colts,Broncos,28,16,312,357,3,1.0,Colts,14
Dolphins,Jaguars,14,10,354,217,3,0.0,Jaguars,14
Vikings,Bengals,30,10,322,210,1,1.0,Vikings,14
Redskins,Raiders,34,13,295,227,1,1.0,Raiders,14
Titans,Rams,47,7,446,240,1,5.0,Titans,14
Chargers,Cowboys,20,17,341,347,1,0.0,Cowboys,14
Eagles,Giants,45,38,374,512,1,4.0,Giants,14
49ers,Cardinals,24,9,327,245,2,7.0,49ers,14
Colts,Jaguars,35,31,369,345,1,1.0,Jaguars,15
Cowboys,Saints,24,17,439,336,0,3.0,Saints,15
Browns,Chiefs,41,34,417,491,3,1.0,Chiefs,15
Texans,Rams,16,13,419,237,2,2.0,Rams,15
Cardinals,Lions,31,24,340,282,3,3.0,Lions,15
Patriots,Bills,17,10,224,241,1,1.0,Bills,15
Titans,Dolphins,27,24,364,468,2,4.0,Titans,15
Falcons,Jets,10,7,238,314,0,3.0,Jets,15
Raiders,Broncos,20,19,343,337,2,0.0,Broncos,15
Chargers,Bengals,27,24,366,407,2,1.0,Chargers,15
Ravens,Bears,31,7,346,220,1,6.0,Ravens,15
Steelers,Packers,37,36,537,436,0,0.0,Steelers,15
Eagles,49ers,27,13,422,261,2,4.0,Eagles,15
Buccaneers,Seahawks,24,7,339,380,1,5.0,Seahawks,15
Panthers,Vikings,26,7,397,237,0,2.0,Panthers,15
Giants,Redskins,45,12,387,302,0,,Redskins,15
Chargers,Titans,42,17,425,270,1,3.0,Titans,16
Browns,Raiders,23,9,282,389,1,3.0,Browns,16
Falcons,Bills,31,3,391,178,0,3.0,Falcons,16
Packers,Seahawks,48,10,417,291,0,4.0,Packers,16
Texans,Dolphins,27,20,406,363,1,1.0,Dolphins,16
Patriots,Jaguars,35,7,464,275,1,2.0,Patriots,16
Steelers,Ravens,23,20,286,323,2,3.0,Steelers,16
Panthers,Giants,41,9,416,317,0,4.0,Giants,16
Bengals,Chiefs,17,10,274,295,1,2.0,Bengals,16
Buccaneers,Saints,20,17,439,373,2,1.0,Saints,16
49ers,Lions,20,6,310,289,1,6.0,49ers,16
Cardinals,Rams,31,10,407,238,1,4.0,Cardinals,16
Eagles,Broncos,30,27,394,241,3,1.0,Eagles,16
