state,submission_year,submission_month,new_case,new_death,population,pnew_case,pnew_death
MA,2021,7,10515.0,88.0,7029917,0.0014957502343199785,1.2517928732302246e-05
MA,2021,8,39388.0,164.0,7029917,0.005602911101226373,2.332886718292691e-05
MA,2021,9,52082.0,381.0,7029917,0.007408622320860972,5.419694144326313e-05
MA,2021,10,39971.0,369.0,7029917,0.005685842379077875,5.248995116158555e-05
MA,2021,11,67175.0,408.0,7029917,0.009555589347640947,5.803766957703768e-05
MA,2021,12,66849.0,321.0,7029917,0.009509216111655372,4.566199003487524e-05
MD,2020,1,0.0,0.0,6177224,0.0,0.0
MD,2020,2,0.0,0.0,6177224,0.0,0.0
MD,2020,3,1660.0,44.0,6177224,0.0002687291249273136,7.122940660723976e-06
MD,2020,4,21812.0,1204.0,6177224,0.0035310359475388946,0.0001949095580798106
MD,2020,5,29855.0,1436.0,6177224,0.004833077123316234,0.00023246688156362794
MD,2020,6,14591.0,632.0,6177224,0.0023620642541050804,0.00010231132949039892
MD,2020,7,21447.0,298.0,6177224,0.003471947917057889,4.824173447490329e-05
MD,2020,8,19498.0,266.0,6177224,0.00315643402279082,4.3061413994376764e-05
MD,2020,9,16647.0,184.0,6177224,0.0026948998449789095,2.9786842763027536e-05
MD,2020,10,20635.0,226.0,6177224,0.0033404972848645282,3.65860133937186e-05
MD,2020,11,54990.0,591.0,6177224,0.008902056975754805,9.567404387472431e-05
MD,2020,12,79084.0,1404.0,6177224,0.012802514527561247,0.0002272865610831014
MD,2021,1,75417.0,1315.0,6177224,0.012208882177495911,0.000212878794746637
MD,2021,2,27066.0,770.0,6177224,0.004381579816435344,0.00012465146156266958
MD,2021,3,30226.0,457.0,6177224,0.0048931364638873385,7.398145186251947e-05
MD,2021,4,35412.0,487.0,6177224,0.005732672151762669,7.88380023130131e-05
MD,2021,5,11604.0,300.0,6177224,0.0018785137142509321,4.85655045049362e-05
MD,2021,6,2410.0,130.0,6177224,0.0003901428861896541,2.1045051952139018e-05
MD,2021,7,6467.0,82.0,6177224,0.0010469103921114079,1.3274571231349227e-05
MD,2021,8,29555.0,198.0,6177224,0.004784511618811298,3.205323297325789e-05
MD,2021,9,35494.0,436.0,6177224,0.005745946722994018,7.058186654717394e-05
MD,2021,10,27400.0,435.0,6177224,0.004435649411450839,7.041998153215749e-05
MD,2021,11,26014.0,325.0,6177224,0.004211276780638034,5.261262988034755e-05
MD,2021,12,5395.0,35.0,6177224,0.0008733696560137693,5.66597552557589e-06
ME,2020,1,0.0,0.0,1362359,0.0,0.0
ME,2020,2,0.0,0.0,1362359,0.0,0.0
ME,2020,3,303.0,5.0,1362359,0.0002224083373031631,3.6701045759597874e-06
ME,2020,4,820.0,50.0,1362359,0.0006018971504574051,3.670104575959787e-05
ME,2020,5,1226.0,34.0,1362359,0.0008999096420253399,2.4956711116526554e-05
